OPEID,CITY,INSTNM,INSTURL,STABBR
156600,Fort Valley,Fort Valley State University,www.fvsu.edu,GA
301100,Cincinnati,Art Academy of Cincinnati,www.artacademy.edu,OH
324200,Pittsburgh,Carnegie Mellon University,www.cmu.edu/,PA
327400,Haverford,Haverford College,www.haverford.edu,PA
306500,Gambier,Kenyon College,www.kenyon.edu/,OH
884800,Lake Wales,Warner University,www.warner.edu,FL
270100,Hamilton,Colgate University,www.colgate.edu,NY
212100,Wellesley,Babson College,www.babson.edu,MA
272800,Clinton,Hamilton College,www.hamilton.edu,NY
3088800,Nashville,Watkins College of Art Design & Film,www.watkins.edu,TN
156400,Atlanta,Emory University,www.emory.edu,GA
329000,Lincoln University,Lincoln University,www.lincoln.edu,PA
727300,New York,CUNY Bernard M Baruch College,www.baruch.cuny.edu,NY
202900,New Orleans,Tulane University of Louisiana,tulane.edu,LA
186800,Grinnell,Grinnell College,www.grinnell.edu,IA
203900,Waterville,Colby College,www.colby.edu,ME
710800,San Juan,University of Puerto Rico-Rio Piedras,www.uprrp.edu,PR
117400,Claremont,Scripps College,www.scrippscollege.edu,CA
238300,Saint Bonifacius,Crown College,www.crown.edu,MN
297400,Chapel Hill,University of North Carolina at Chapel Hill,www.unc.edu,NC
702200,Bronx,CUNY Lehman College,www.lehman.cuny.edu,NY
374500,Charlottesville,University of Virginia-Main Campus,www.virginia.edu/,VA
371400,Hampton,Hampton University,www.hamptonu.edu,VA
328400,Easton,Lafayette College,https://www.lafayette.edu/,PA
169400,Chicago,Chicago State University,www.csu.edu,IL
222400,Wellesley,Wellesley College,www.wellesley.edu,MA
323800,Lewisburg,Bucknell University,www.bucknell.edu,PA
114300,San Luis Obispo,California Polytechnic State University-San Luis Obispo,calpoly.edu,CA
125200,Fullerton,Hope International University,www.hiu.edu,CA
339600,Chambersburg,Wilson College,www.wilson.edu,PA
374400,University of Richmond,University of Richmond,www.richmond.edu,VA
219900,Boston,Northeastern University,www.northeastern.edu,MA
232500,Ann Arbor,University of Michigan-Ann Arbor,www.umich.edu,MI
381900,Vienna,Ohio Valley University,www.ovu.edu,WV
340900,Providence,Rhode Island School of Design,www.risd.edu,RI
308600,Oberlin,Oberlin College,www.oberlin.edu,OH
370500,Williamsburg,College of William and Mary,www.wm.edu,VA
342900,Columbia,Columbia International University,www.ciu.edu,SC
131700,La Jolla,University of California-San Diego,www.ucsd.edu,CA
156900,Atlanta,Georgia Institute of Technology-Main Campus,www.gatech.edu,GA
195500,Berea,Berea College,www.berea.edu,KY
212800,Chestnut Hill,Boston College,www.bc.edu,MA
328900,Bethlehem,Lehigh University,www.lehigh.edu,PA
115100,San Diego,San Diego State University,www.sdsu.edu,CA
213000,Boston,Boston University,www.bu.edu,MA
268900,New York,CUNY Hunter College,www.hunter.cuny.edu,NY
160600,Laie,Brigham Young University-Hawaii,www.byuh.edu/,HI
213300,Waltham,Brandeis University,www.brandeis.edu/,MA
386900,Milwaukee,Mount Mary University,www.mtmary.edu/,WI
349503,Kissimmee,Johnson University Florida,www.johnsonu.edu/florida,FL
268700,Brooklyn,CUNY Brooklyn College,www.brooklyn.cuny.edu,NY
153701,St. Petersburg,University of South Florida-St Petersburg,www.usfsp.edu,FL
278500,New York,New York University,www.nyu.edu,NY
113900,Long Beach,California State University-Long Beach,www.csulb.edu,CA
1014900,Malibu,Pepperdine University,www.pepperdine.edu/,CA
