opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
118300,0.2293,11,0.2087,8413,27000,20086,-18473,2363,7523
154001,0.5636,32,0.5574,5734,21562,5779,-2435,5415,-4488
241400,0.7807,12,0.7454,14341,27000,-3513,6211,-4391,7523
345000,0.6364,31,0.5994,6669,23292,2663,-503,4350,-666
639900,0.5,11,0.9133,11644,24280.5,8501,13934,-1318,1517
129100,1,13,0.6207,6351,16666,-12899,476,4712,-15301
227900,0.3181,13,0.4893,9838,27000,16286,-5567,740,7523
348000,0.9685,32,0.5015,6356,25053,-11550,-5006,4707,3223
280600,0.675,21,0.6457,17731,27000,1011,1626,-8253,7523
252600,0.6345,33,0.8007,7695,27000,2744,8755,3181,7523
158800,0.5484,32,0.7309,7524,23958,6429,5545,3376,805
260000,0.3416,21,0.3666,11114,23000,15280,-11211,-714,-1311
169300,0.6108,11,0.3579,12341,14293,3759,-11611,-2112,-20543
299400,0.6667,33,0.6922,10193,18951,1366,3765,335,-10255
246000,0.6341,43,0.739,6034,23702,2761,5917,5074,239
343500,0.5294,32,0.5861,5161,27000,7242,-1115,6068,7523
379900,0.9691,23,0.6992,10535,27000,-11576,4087,-54,7523
283700,0.6074,21,0.4868,15806,19500,3904,-5682,-6060,-9042
335300,0.99,11,0.3973,12724,27000,-12471,-9799,-2548,7523
336000,0.2623,21,0.4205,5995,27000,18674,-8732,5118,7523
