opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
332901,0.5808,1040,-3665,1691
278800,0.6586,1040,395,1691
195800,0.4927,1039,-8262,1767
203200,0.6599,1039,463,1767
316700,0.6755,1039,1277,1767
244900,0.5198,1038,-6848,1843
248000,0.5288,1038,-6378,1843
115500,0.5985,1038,-2741,1843
325900,0.6218,1038,-1525,1843
196200,0.6628,1038,615,1843
341800,0.7152,1038,3349,1843
2070500,0.8608,1038,10948,1843
319100,0.5262,1037,-6514,1919
357100,0.568,1037,-4333,1919
1011500,0.7591,1037,5640,1919
326600,0.7767,1037,6559,1919
111700,0.8183,1037,8730,1919
194600,0.8568,1037,10739,1919
182100,0.5644,1036,-4520,1994
292300,0.7728,1036,6355,1994
342900,0.3322,1035,-16638,2070
298100,0.4311,1035,-11477,2070
157800,0.5525,1035,-5141,2070
299400,0.5768,1035,-3873,2070
262902,0.6275,1035,-1228,2070
231800,0.6664,1035,803,2070
271200,0.6879,1035,1925,2070
304500,0.7197,1035,3584,2070
349500,0.5637,1034,-4557,2146
336800,0.7192,1034,3558,2146
180300,0.9711,1034,16704,2146
362300,0.5946,1033,-2944,2222
336600,0.6872,1033,1888,2222
172500,0.6906,1033,2065,2222
134900,0.7088,1033,3015,2222
343000,0.7905,1033,7279,2222
398600,0.7965,1033,7592,2222
383100,0.6263,1032,-1290,2298
234200,0.6721,1032,1100,2298
351000,0.7206,1032,3631,2298
361500,0.729,1032,4069,2298
3982300,0.2398,1031,-21460,2373
284900,0.4786,1031,-8998,2373
166600,0.5385,1031,-5872,2373
253400,0.6361,1031,-779,2373
4127100,0.6718,1031,1084,2373
179800,0.6922,1031,2149,2373
282500,0.7073,1031,2937,2373
260701,0.8075,1031,8166,2373
200500,0.8837,1031,12143,2373
313100,0.9473,1031,15462,2373
173700,0.5089,1030,-7417,2449
256300,0.5214,1030,-6764,2449
188000,0.5683,1030,-4317,2449
193100,0.5909,1030,-3138,2449
321600,0.6933,1030,2206,2449
231100,0.7065,1030,2895,2449
3071900,0.7389,1030,4586,2449
329600,0.7418,1030,4737,2449
201700,0.7527,1030,5306,2449
157900,0.7654,1030,5969,2449
176700,0.7717,1030,6298,2449
202000,0.7722,1030,6324,2449
231400,0.7996,1030,7754,2449
392000,0.8034,1030,7952,2449
380000,0.8208,1030,8860,2449
202400,0.8373,1030,9721,2449
233000,0.8406,1030,9893,2449
348700,0.9174,1030,13901,2449
350900,0.474,1029,-9238,2525
301600,0.5603,1029,-4734,2525
175000,0.6067,1029,-2313,2525
191800,0.6138,1029,-1942,2525
244100,0.6674,1029,855,2525
101600,0.6788,1029,1450,2525
185200,0.7049,1029,2812,2525
746800,0.7677,1029,6089,2525
321900,0.7737,1029,6402,2525
197600,0.8443,1029,10087,2525
225900,0.6887,1028,1966,2601
229300,0.9109,1028,13562,2601
346900,0.9724,1028,16772,2601
202100,0.7298,1027,4111,2677
304800,0.7506,1027,5197,2677
101900,0.5839,1026,-3503,2752
262800,0.7091,1026,3031,2752
346300,0.842,1026,9966,2752
350700,0.3806,1025,-14112,2828
173500,0.5461,1025,-5475,2828
262901,0.6038,1025,-2464,2828
291300,0.6806,1025,1544,2828
221100,0.7087,1025,3010,2828
221000,0.7682,1025,6115,2828
346600,0.8289,1025,9283,2828
129100,0.5736,1024,-4040,2904
204400,0.7863,1024,7060,2904
332920,0.8208,1024,8860,2904
174500,0.8893,1024,12435,2904
331300,0.6501,1023,-48,2980
330100,0.862,1022,11010,3055
273700,0.867,1022,11271,3055
113700,0.4447,1021,-10767,3131
196900,0.6072,1021,-2287,3131
381500,0.7653,1021,5964,3131
332918,0.8335,1021,9523,3131
355700,0.8529,1021,10535,3131
343600,0.52,1020,-6838,3207
364100,0.5587,1020,-4818,3207
292900,0.6712,1020,1053,3207
300800,0.9027,1020,13134,3207
135300,0.9082,1020,13421,3207
245800,0.7063,1019,2885,3283
2328900,0.3976,1018,-13225,3359
159900,0.5414,1018,-5721,3359
180400,0.6648,1018,719,3359
378300,0.9612,1018,16187,3359
125800,0.4744,1017,-9217,3434
238300,0.284,1016,-19154,3510
133900,0.3738,1016,-14467,3510
294800,0.4606,1016,-9937,3510
343200,0.6057,1016,-2365,3510
158500,0.6948,1016,2285,3510
3516300,1,1016,18212,3510
137800,0.6044,1015,-2433,3586
212300,0.6247,1015,-1374,3586
121600,0.4656,1014,-9676,3662
102900,0.5847,1014,-3461,3662
313400,0.6551,1014,213,3662
337902,0.8018,1014,7869,3662
303200,0.8421,1014,9972,3662
245000,1,1014,18212,3662
301800,0.5337,1012,-6123,3813
332500,0.6871,1012,1883,3813
218500,0.6226,1011,-1483,3889
337904,0.7452,1011,4915,3889
277800,0.8862,1011,12273,3889
677100,0.4561,1010,-10172,3965
167400,0.4976,1010,-8007,3965
255300,0.6018,1010,-2569,3965
